,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,labels
34,2,12,9,45,45,181,181,0.0,0.0,1.0,0.0,250,0.98,0.01,0.0,0.0,0.0,0.0,0.0,4
35,2,49,9,105,147,2,2,0.0,0.0,1.0,0.0,5,0.12,0.05,0.05,0.0,0.0,0.0,0.0,4
36,2,12,9,43,43,122,202,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.0,0.0,0.0,0.0,4
37,1,58,5,0,0,205,17,1.0,1.0,0.08,0.06,17,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0
38,1,24,9,324,2302,22,28,0.0,0.0,1.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
39,1,67,5,0,0,228,13,1.0,1.0,0.06,0.07,13,0.05,0.07,0.0,0.0,1.0,1.0,0.0,0
40,1,20,5,0,0,50,11,1.0,1.0,0.22,0.08,63,0.25,0.02,0.01,0.0,1.0,1.0,0.0,0
41,1,2,5,0,0,262,12,1.0,1.0,0.05,0.06,9,0.04,0.07,0.0,0.0,1.0,1.0,0.0,0
42,1,54,9,1591,372,1,2,0.0,0.0,1.0,0.0,147,0.81,0.02,0.01,0.0,0.0,0.0,0.0,4
43,2,44,9,146,105,4,2,0.0,0.0,0.5,0.5,2,0.01,0.66,0.99,0.0,0.0,0.0,0.0,4
44,1,24,9,290,3006,11,11,0.0,0.0,1.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
45,1,7,5,0,0,108,11,1.0,1.0,0.1,0.08,11,0.04,0.07,0.0,0.0,1.0,1.0,0.0,0
46,2,49,9,28,0,80,80,0.0,0.0,1.0,0.0,80,0.31,0.02,0.31,0.0,0.0,0.0,0.0,0
47,1,24,9,255,861,44,44,0.02,0.02,1.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
48,1,20,9,334,0,2,2,0.0,0.0,1.0,0.0,38,1.0,0.0,1.0,0.18,0.0,0.0,0.0,2
49,1,20,5,0,0,258,17,1.0,1.0,0.07,0.05,5,0.02,0.07,0.0,0.0,1.0,1.0,0.0,0
50,1,24,9,302,498,10,10,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,4
51,1,49,1,0,0,61,4,0.0,0.0,0.07,0.1,4,0.02,0.08,0.0,0.0,0.0,0.0,1.0,0
52,2,49,9,28,0,2,2,0.0,0.0,1.0,0.0,2,0.01,0.02,0.01,0.0,0.0,0.0,0.77,0
53,1,24,9,220,1398,26,42,0.0,0.0,1.0,0.0,255,1.0,0.0,0.04,0.03,0.0,0.0,0.0,4
54,2,12,9,43,69,120,120,0.0,0.0,1.0,0.0,245,0.96,0.01,0.01,0.0,0.0,0.0,0.0,4
55,2,12,9,44,133,73,75,0.0,0.0,1.0,0.0,212,0.88,0.02,0.88,0.01,0.0,0.0,0.08,4
56,0,14,9,8,0,1,15,0.0,0.0,1.0,0.0,46,1.0,0.0,1.0,0.26,0.0,0.0,0.0,1
57,1,66,5,0,0,135,9,1.0,1.0,0.07,0.06,11,0.04,0.07,0.0,0.0,1.0,1.0,0.0,0
58,1,18,5,0,0,24,12,1.0,1.0,0.5,0.08,59,0.23,0.04,0.0,0.0,1.0,1.0,0.0,0
59,2,12,9,43,43,148,228,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.0,0.0,0.0,0.0,4
60,1,20,9,641,0,2,2,0.0,0.0,1.0,0.0,48,0.25,0.02,0.25,0.04,0.0,0.0,0.0,4
61,1,49,1,0,0,206,4,0.0,0.0,0.02,0.06,4,0.02,0.08,0.0,0.0,0.0,0.0,1.0,0
62,1,49,1,0,0,175,1,0.1,0.0,0.01,1.0,1,0.0,0.84,0.0,0.0,0.07,0.0,0.62,1
63,1,24,9,310,2794,4,4,0.0,0.0,1.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
64,1,49,1,0,0,63,10,0.0,0.0,0.16,0.08,10,0.04,0.07,0.0,0.0,0.0,0.0,1.0,0
65,1,54,9,696,333,1,1,0.0,0.0,1.0,0.0,133,0.39,0.04,0.01,0.02,0.0,0.0,0.0,4
66,1,37,4,0,0,1,1,0.0,0.0,1.0,0.0,1,0.0,0.58,0.58,0.0,0.0,0.0,0.58,1
67,1,24,5,0,0,52,19,1.0,1.0,0.37,0.08,67,0.26,0.02,0.0,0.0,1.0,1.0,0.0,0
68,1,37,1,0,0,125,7,0.0,0.0,0.06,0.06,6,0.02,0.07,0.0,0.0,0.0,0.0,1.0,0
69,1,58,5,0,0,168,21,1.0,1.0,0.12,0.06,21,0.08,0.06,0.0,0.0,1.0,1.0,0.0,0
70,1,24,9,221,2878,1,1,0.0,0.0,1.0,0.0,58,1.0,0.0,0.05,0.03,0.0,0.0,0.0,4
71,1,49,5,0,0,145,16,1.0,1.0,0.11,0.06,31,0.12,0.05,0.0,0.0,1.0,1.0,0.0,0
72,0,65,9,181,0,3,2,0.0,0.0,0.67,0.67,93,0.36,0.01,0.46,0.0,0.0,0.0,0.0,4
73,2,12,9,42,42,9,14,0.0,0.0,1.0,0.0,83,0.99,0.02,0.01,0.0,0.0,0.0,0.0,4
74,1,49,5,0,0,138,6,1.0,1.0,0.04,0.06,6,0.02,0.07,0.0,0.0,1.0,1.0,0.0,0
75,1,20,9,12,0,1,1,0.0,0.0,1.0,0.0,47,0.55,0.07,0.55,0.04,0.0,0.0,0.0,4
76,1,4,5,0,0,276,9,1.0,1.0,0.03,0.06,9,0.04,0.06,0.0,0.0,1.0,1.0,0.0,0
77,1,24,9,210,2790,10,27,0.0,0.0,1.0,0.0,255,1.0,0.0,0.02,0.09,0.0,0.0,0.0,4
78,1,24,9,321,5683,10,10,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,4
79,1,49,1,0,0,248,8,0.0,0.0,0.03,0.06,8,0.03,0.07,0.0,0.0,0.0,0.0,1.0,0
80,1,24,9,329,3982,2,31,0.0,0.0,1.0,0.0,255,1.0,0.0,0.04,0.05,0.0,0.0,0.0,4
81,1,67,1,0,0,135,7,0.0,0.0,0.05,0.07,7,0.03,0.07,0.0,0.0,0.0,0.0,1.0,0
82,1,11,5,0,0,220,19,1.0,1.0,0.09,0.05,2,0.01,0.07,0.0,0.0,1.0,1.0,0.0,0
83,0,14,9,8,0,1,44,0.0,0.0,1.0,0.0,95,1.0,0.0,1.0,0.51,0.0,0.0,0.0,1
84,1,24,9,320,379,9,9,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,4
85,1,49,5,0,0,212,7,1.0,1.0,0.03,0.05,7,0.1,0.11,0.01,0.0,0.97,1.0,0.0,0
86,1,24,9,225,3762,10,10,0.0,0.0,1.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
87,1,19,5,0,0,250,13,1.0,1.0,0.05,0.06,1,0.0,0.07,0.0,0.0,1.0,1.0,0.0,0
88,1,49,1,0,0,132,15,0.0,0.0,0.11,0.05,15,0.06,0.06,0.0,0.0,0.0,0.0,1.0,0
89,2,44,9,146,105,3,2,0.0,0.0,0.67,0.67,2,0.02,0.54,0.78,0.0,0.0,0.0,0.0,4
90,1,24,9,247,1416,11,11,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.09,0.0,0.0,0.46,4
91,1,24,9,353,1483,3,9,0.0,0.0,1.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
92,2,12,9,44,44,109,189,0.0,0.0,0.99,0.02,254,1.0,0.01,0.01,0.0,0.0,0.0,0.0,4
93,1,49,1,0,0,146,18,0.0,0.0,0.12,0.05,10,0.04,0.08,0.0,0.0,0.0,0.0,1.0,0
94,1,7,5,0,0,300,6,1.0,1.0,0.02,0.06,3,0.01,0.07,0.0,0.0,1.0,1.0,0.0,0
95,1,54,9,3065,331,1,2,0.0,0.0,1.0,0.0,119,0.48,0.02,0.0,0.02,0.01,0.02,0.0,4
96,2,44,9,102,102,1,1,0.0,0.0,1.0,0.0,1,0.14,0.29,0.14,0.0,0.0,0.0,0.0,4
97,1,24,9,259,750,4,5,0.0,0.0,1.0,0.0,255,1.0,0.0,0.25,0.03,0.0,0.0,0.0,4
98,2,44,9,147,105,2,2,0.0,0.0,1.0,0.0,2,0.01,0.42,0.86,0.0,0.0,0.0,0.0,4
99,1,49,5,0,0,129,16,1.0,1.0,0.12,0.05,12,0.05,0.05,0.0,0.0,1.0,1.0,0.0,0
100,1,24,9,0,354,32,32,0.03,0.03,1.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
101,1,24,9,309,306,1,1,0.0,0.0,1.0,0.0,255,1.0,0.0,0.02,0.02,0.0,0.0,0.0,4
102,1,24,1,0,0,1,2,0.0,0.0,1.0,0.0,247,1.0,0.0,1.0,0.15,0.0,0.0,1.0,4
103,1,24,9,278,7227,3,3,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.05,0.0,0.0,0.0,4
104,2,49,9,28,0,82,82,0.0,0.0,1.0,0.0,182,0.71,0.29,0.71,0.0,0.09,0.0,0.2,0
105,1,24,9,313,761,1,1,0.0,0.0,1.0,0.0,255,1.0,0.0,0.02,0.03,0.0,0.0,0.0,4
106,1,24,9,219,1212,15,15,0.0,0.0,1.0,0.0,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,4
107,1,24,9,245,9165,2,3,0.0,0.0,1.0,0.0,255,1.0,0.0,0.1,0.05,0.0,0.0,0.0,4
108,1,24,9,328,2243,21,21,0.0,0.0,1.0,0.0,255,1.0,0.0,0.05,0.04,0.0,0.0,0.0,4
109,1,24,1,0,0,1,1,0.0,0.0,1.0,0.0,249,1.0,0.0,0.04,0.1,0.0,0.0,1.0,4
110,1,24,9,251,301,3,7,0.0,0.0,1.0,0.0,252,0.99,0.01,0.0,0.0,0.0,0.0,0.0,4
111,1,54,9,2089,335,2,2,0.0,0.0,0.5,1.0,152,0.6,0.03,0.0,0.0,0.01,0.02,0.0,4
112,1,24,1,0,0,1,1,0.0,0.0,1.0,0.0,255,1.0,0.0,0.17,0.21,0.0,0.0,1.0,4
113,1,24,9,237,511,1,1,0.0,0.0,1.0,0.0,255,1.0,0.0,0.33,0.01,0.0,0.0,0.0,4
114,1,24,9,324,431,4,5,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,4
115,1,49,4,1,0,2,2,0.0,0.0,1.0,0.0,2,0.01,0.69,1.0,0.0,0.0,0.0,1.0,1
116,1,2,1,0,0,110,17,0.0,0.0,0.15,0.05,17,0.07,0.07,0.0,0.0,0.0,0.0,1.0,0
117,2,49,9,105,145,4,1,0.0,0.0,0.25,0.5,239,0.94,0.01,0.0,0.0,0.0,0.0,0.0,4
118,1,24,9,218,974,6,6,0.0,0.0,1.0,0.0,255,1.0,0.0,0.17,0.02,0.0,0.01,0.0,4
119,1,24,9,325,2649,7,7,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,4
120,1,67,1,0,0,246,20,0.0,0.0,0.08,0.07,20,0.08,0.07,0.0,0.0,0.0,0.0,1.0,0
121,1,5,1,0,0,272,19,0.0,0.0,0.07,0.07,19,0.07,0.08,0.0,0.0,0.0,0.0,1.0,0
122,1,7,5,0,0,259,8,1.0,1.0,0.03,0.07,8,0.03,0.08,0.0,0.0,1.0,1.0,0.0,0
123,1,24,9,328,275,9,10,0.0,0.0,1.0,0.0,250,0.98,0.01,0.0,0.0,0.0,0.0,0.0,4
124,1,5,5,0,0,294,6,1.0,1.0,0.02,0.05,8,0.03,0.07,0.0,0.0,1.0,1.0,0.0,0
125,1,18,9,9,138,1,1,0.0,0.0,1.0,0.0,10,0.03,0.03,0.01,0.2,0.01,0.0,0.01,4
126,2,12,9,46,46,96,178,0.0,0.0,1.0,0.0,254,1.0,0.01,0.01,0.0,0.0,0.0,0.0,4
127,1,54,9,1079,334,1,1,0.0,0.0,1.0,0.0,167,0.57,0.03,0.01,0.01,0.0,0.0,0.0,4
128,2,12,9,45,139,79,159,0.0,0.0,1.0,0.0,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,4
129,1,19,9,273,903,1,1,0.0,0.0,1.0,0.0,49,0.28,0.02,0.01,0.0,0.01,0.02,0.0,4
130,1,49,5,0,0,190,20,1.0,1.0,0.11,0.06,20,0.08,0.08,0.0,0.0,1.0,1.0,0.0,0
131,1,32,1,0,0,135,5,0.0,0.0,0.04,0.06,1,0.0,0.07,0.0,0.0,0.0,0.0,1.0,0
132,1,24,9,237,138,2,2,0.0,0.0,1.0,0.0,2,1.0,0.0,0.5,0.0,0.0,0.0,0.0,4
133,1,24,9,225,1357,1,1,0.0,0.0,1.0,0.0,255,1.0,0.0,0.2,0.02,0.0,0.0,0.0,4
134,1,49,5,0,0,123,7,1.0,1.0,0.06,0.06,7,0.03,0.08,0.0,0.0,1.0,1.0,0.0,0
135,1,58,5,0,0,245,20,1.0,1.0,0.08,0.06,7,0.03,0.07,0.0,0.0,1.0,1.0,0.0,0
136,2,44,9,147,0,3,1,0.0,0.0,0.33,0.67,1,0.0,0.61,0.97,0.0,0.0,0.0,0.0,4
137,1,24,9,262,1011,3,4,0.0,0.0,1.0,0.0,255,1.0,0.0,0.02,0.01,0.0,0.0,0.0,4
138,0,15,9,1032,0,263,263,0.0,0.0,1.0,0.0,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
139,1,49,5,0,0,109,13,1.0,1.0,0.12,0.06,7,0.03,0.06,0.0,0.0,1.0,1.0,0.0,0
140,1,24,9,261,8412,9,9,0.0,0.0,1.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
141,1,5,1,0,0,145,8,0.0,0.0,0.06,0.08,8,0.03,0.09,0.0,0.0,0.0,0.0,1.0,0
142,1,37,1,0,0,250,2,0.0,0.0,0.01,0.07,2,0.01,0.07,0.0,0.0,0.0,0.0,1.0,0
143,1,24,9,294,1719,8,8,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,4
144,1,24,9,221,981,2,3,0.0,0.0,1.0,0.0,82,1.0,0.0,0.02,0.04,0.0,0.0,0.0,4
145,1,24,9,284,10352,2,2,0.0,0.0,1.0,0.0,255,1.0,0.0,0.09,0.07,0.0,0.0,0.0,4
146,1,21,10,0,0,1,1,1.0,1.0,1.0,0.0,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1
147,1,24,9,309,16096,3,3,0.0,0.0,1.0,0.0,129,1.0,0.0,0.03,0.02,0.0,0.0,0.0,4
148,1,20,9,334,0,2,2,0.0,0.0,1.0,0.0,26,1.0,0.0,1.0,0.19,0.0,0.0,0.0,2
149,1,60,5,0,0,13,4,1.0,1.0,0.31,0.31,64,0.25,0.02,0.01,0.0,1.0,1.0,0.0,0
150,1,49,5,0,0,87,1,1.0,1.0,0.01,0.07,1,0.0,0.06,0.0,0.0,1.0,1.0,0.0,0
151,1,24,9,214,283,2,2,0.0,0.0,1.0,0.0,255,1.0,0.0,0.04,0.05,0.0,0.01,0.0,4
152,1,68,5,0,0,292,13,1.0,1.0,0.04,0.05,14,0.05,0.08,0.0,0.0,1.0,1.0,0.0,0
153,1,59,5,0,0,295,18,1.0,1.0,0.06,0.05,1,0.0,0.08,0.0,0.0,1.0,1.0,0.0,0
154,1,26,5,0,0,143,15,1.0,1.0,0.1,0.06,15,0.06,0.05,0.0,0.0,1.0,1.0,0.0,0
155,2,12,9,46,78,278,277,0.0,0.0,1.0,0.01,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,4
156,1,20,9,748,0,1,1,0.0,0.0,1.0,0.0,92,0.83,0.33,0.83,0.03,0.0,0.0,0.0,4
157,1,16,5,0,0,102,19,1.0,1.0,0.19,0.06,18,0.07,0.06,0.0,0.0,1.0,1.0,0.0,0
158,0,14,9,8,0,1,46,0.0,0.0,1.0,0.0,15,1.0,0.0,1.0,0.53,0.0,0.0,0.0,1
159,1,69,5,0,0,251,3,1.0,1.0,0.01,0.07,3,0.01,0.08,0.0,0.0,1.0,1.0,0.0,0
160,1,24,9,329,8437,4,4,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,4
161,1,20,9,9,0,2,2,0.0,0.0,1.0,0.0,119,0.5,0.38,0.5,0.02,0.0,0.0,0.37,4
162,2,12,9,46,128,222,302,0.0,0.0,1.0,0.0,253,0.99,0.01,0.0,0.0,0.0,0.0,0.0,4
163,1,20,9,1766,0,2,2,0.0,0.0,1.0,0.0,6,0.02,0.02,0.02,0.0,0.0,0.0,0.83,4
164,1,51,5,0,0,260,4,1.0,1.0,0.02,0.06,4,0.02,0.07,0.0,0.0,1.0,1.0,0.0,0
165,1,44,4,1,0,2,2,0.0,0.0,1.0,0.0,2,0.01,0.74,1.0,0.0,0.0,0.0,1.0,1
166,1,18,9,8,135,1,1,0.0,0.0,1.0,0.0,6,0.03,0.03,0.01,0.33,0.0,0.0,0.01,4
167,1,24,9,266,529,1,6,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,4
168,1,20,9,245,0,3,2,0.0,0.0,0.67,0.67,68,0.32,0.06,0.32,0.03,0.0,0.0,0.0,4
169,1,24,9,295,465,11,12,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,4
170,1,21,5,0,0,44,12,1.0,1.0,0.27,0.11,12,0.05,0.08,0.0,0.0,1.0,1.0,0.0,0
171,1,24,9,228,6834,2,7,0.0,0.0,1.0,0.0,19,1.0,0.0,0.06,0.11,0.0,0.0,0.0,4
172,0,15,9,1032,0,511,511,0.0,0.0,1.0,0.0,212,0.83,0.02,0.83,0.0,0.0,0.0,0.0,0
173,1,28,1,0,0,272,15,0.0,0.0,0.06,0.06,15,0.06,0.07,0.0,0.0,0.0,0.0,1.0,0
174,1,49,5,0,0,122,19,0.99,1.0,0.16,0.07,19,0.07,0.05,0.0,0.0,1.0,1.0,0.0,0
175,1,69,5,0,0,287,3,1.0,1.0,0.01,0.05,3,0.01,0.05,0.0,0.0,1.0,1.0,0.0,0
176,1,24,1,0,0,1,3,0.0,0.0,1.0,0.0,195,1.0,0.0,0.01,0.02,0.0,0.0,0.74,4
177,1,44,1,0,0,486,1,0.08,0.0,0.0,0.95,1,0.0,0.91,0.0,0.0,0.11,0.0,0.89,1
178,2,44,9,1,0,22,6,0.0,0.0,0.27,0.09,6,0.02,0.06,1.0,0.0,0.0,0.0,0.0,1
179,1,29,5,0,0,286,9,1.0,1.0,0.03,0.06,11,0.04,0.07,0.0,0.0,1.0,1.0,0.0,0
180,0,15,9,30,0,1,1,0.0,0.0,1.0,0.0,247,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4
181,1,54,9,2078,333,1,2,0.0,0.0,1.0,0.0,117,0.31,0.03,0.01,0.02,0.0,0.0,0.0,4
182,1,20,9,19,0,1,1,0.0,0.0,1.0,0.0,5,0.02,0.04,0.02,0.0,0.0,0.0,0.0,4
183,1,54,9,661,329,1,1,0.0,0.0,1.0,0.0,69,0.36,0.02,0.01,0.03,0.0,0.0,0.0,4
184,2,49,9,28,0,35,34,0.0,0.0,0.97,0.06,34,0.13,0.02,0.13,0.0,0.0,0.0,0.67,0
185,1,20,5,0,0,28,2,1.0,1.0,0.07,0.14,42,0.16,0.03,0.0,0.0,1.0,1.0,0.0,0
186,1,49,5,0,0,108,18,1.0,1.0,0.17,0.07,18,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0
187,1,49,5,0,0,101,5,1.0,1.0,0.05,0.06,15,0.06,0.07,0.0,0.0,1.0,1.0,0.0,0
188,1,54,9,1075,364,1,2,0.0,0.0,1.0,0.0,100,0.39,0.17,0.0,0.0,0.0,0.0,0.0,4
189,1,24,9,223,656,12,21,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,4
190,1,19,9,350,1185,1,2,0.0,0.0,1.0,0.0,142,0.56,0.02,0.0,0.0,0.0,0.0,0.0,2
191,1,24,9,233,2470,10,10,0.0,0.0,1.0,0.0,255,1.0,0.0,0.03,0.01,0.0,0.0,0.0,4
192,1,49,5,0,0,223,10,1.0,1.0,0.04,0.07,9,0.04,0.05,0.0,0.0,1.0,1.0,0.0,0
193,1,13,5,0,0,223,17,1.0,1.0,0.08,0.06,17,0.07,0.06,0.0,0.0,1.0,1.0,0.0,0
194,1,24,9,201,1938,19,34,0.0,0.0,1.0,0.0,255,1.0,0.0,0.02,0.03,0.0,0.0,0.0,4
195,1,24,9,271,4781,4,7,0.0,0.0,1.0,0.0,28,1.0,0.0,0.09,0.25,0.0,0.0,0.0,4
196,1,20,9,14416,0,1,1,0.0,0.0,1.0,0.0,50,0.19,0.02,0.19,0.04,0.0,0.0,0.0,4
197,1,24,9,227,11564,5,6,0.0,0.0,1.0,0.0,52,1.0,0.0,0.02,0.04,0.0,0.0,0.0,4
198,1,49,1,0,0,406,1,0.0,0.0,0.0,0.52,1,0.0,0.52,1.0,0.0,0.0,0.0,1.0,1
199,1,24,9,225,2445,4,5,0.0,0.0,1.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
200,1,24,9,176,426,6,6,0.0,0.0,1.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
201,1,30,5,0,0,143,14,1.0,1.0,0.1,0.06,14,0.05,0.06,0.0,0.0,1.0,1.0,0.0,0
202,1,24,9,227,762,17,17,0.0,0.0,1.0,0.0,255,1.0,0.0,0.0,0.02,0.0,0.0,0.0,4
203,1,54,9,855,575,1,1,0.0,0.0,1.0,0.0,20,0.08,0.02,0.0,0.0,0.0,0.0,0.0,4
204,1,54,9,944,330,1,1,0.0,0.0,1.0,0.0,166,0.63,0.02,0.0,0.01,0.0,0.0,0.0,4
205,1,54,9,954,326,2,1,0.0,0.0,0.5,1.0,104,0.71,0.11,0.04,0.02,0.0,0.0,0.0,4
206,1,67,5,0,0,201,18,1.0,1.0,0.09,0.06,18,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0
207,1,24,9,166,34660,1,1,0.0,0.0,1.0,0.0,255,1.0,0.0,0.06,0.06,0.0,0.0,0.0,4
208,1,24,9,306,2698,4,5,0.0,0.0,1.0,0.0,240,0.94,0.01,0.0,0.0,0.0,0.0,0.01,4
209,1,38,5,0,0,124,19,1.0,1.0,0.15,0.05,19,0.07,0.05,0.0,0.0,1.0,1.0,0.0,0
210,1,49,1,0,0,162,1,0.05,0.0,0.01,1.0,1,0.0,0.8,0.0,0.0,0.03,0.0,0.61,1
211,0,15,9,1480,0,2,4,0.0,0.0,1.0,0.0,38,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0
